,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
145040,86579.0,-0.318484766002785,0.969565708868779,-0.0925935436340857,-1.25688532916866,0.969415074514843,-0.800742781513108,1.12730257409674,-0.158598786392683,-0.173574658157792,-0.370115300275192,0.489262065125144,0.733241101166986,0.161099562030078,0.438872020345365,-0.775103396684487,0.167112331201,-1.18746131851872,0.4995715789431,-0.650982386524304,-0.128360325411283,0.396861830730127,1.28900381365754,-0.28107940208194,-0.359507142021822,-0.415909856762752,-0.351131187569787,0.315545817109267,0.266366758608558,1.29,0
233420,147557.0,2.03755625228174,0.276439032112,-2.1135432042491,0.934373486201515,1.08966557697231,-0.448317948430497,0.658671807627002,-0.248776935200659,-0.40374061760804,0.524235309838561,0.632501205170083,0.716923647902117,-0.092619270445894,0.973182220940348,-0.401491110012911,-0.13518907077015,-0.798540393954727,0.144576650744656,-0.0120366597432721,-0.217435866986085,0.153800003625485,0.472470046597655,-0.040111639705294,0.290939989299694,0.496090084790579,-0.510053662577437,-0.0398396903233285,-0.0692272060070092,14.35,0
17317,28625.0,-27.84818067198,15.5981926625554,-28.923755945104,6.41844174657532,-20.346228155413,-4.82820246578157,-19.2108964179086,18.329405525597,-3.66873493861418,-8.00915938639777,4.30309581759563,-6.00866000668561,1.1389688287939,-5.58044712038062,-0.11073711578577,-5.49107326163426,-11.5885435992809,-4.71542017123115,0.734573493016404,1.69785626318366,1.8021491336386,-2.06293427611466,-1.26984343615924,0.165409188492223,1.99949911253199,-0.211058522431997,1.32480949279508,0.388090177732107,99.99,1
276314,167013.0,2.01112864708513,0.0602715188721521,-1.62147784941094,0.341735508990651,0.363085556005364,-0.588495962209277,0.0291514724636013,-0.0397064599781266,0.314429228320098,-0.199645760120406,1.23523019543772,0.584562578859648,-0.675249136389254,-0.508236774706374,-0.392979930716168,0.431219899802487,0.379373212482821,0.116471712681025,0.20759861157114,-0.197591061185806,-0.302720080680605,-0.826202398044218,0.363996812695797,0.593277831817206,-0.347886465844967,0.15038187846161,-0.0670692485250297,-0.0407928515097019,1.29,0
43003,41332.0,1.24070256198829,-0.640674476064543,0.155634497504668,-0.842173054747553,-0.527249143958806,0.10299916685542,-0.586445805413546,0.129053952257213,-1.16933712307768,0.723623849858596,1.89897464041976,0.245663607655005,0.0491233770436824,0.189335314885996,0.46410913641124,0.599107752099346,0.604114163116264,-1.79441851875385,0.0753391008680107,0.0742710879781191,0.337393336404005,0.879815023775829,-0.091002961158347,-0.237526338823636,0.44358726429792,-0.0781667991812482,0.0180416207768933,-0.0013501138972914,39.85,0
221392,142552.0,0.102256239135466,0.758975967448481,-0.199285693686267,-0.558496255989673,1.39361177881922,-0.717896129238831,1.17568238213754,-0.473427034507285,-0.0567944035375784,-0.0992179192506507,-0.900437625070842,0.475430966682881,1.45218238638378,-0.0866846630343598,0.406544403583078,-0.479928681474897,-0.789574351899053,0.10312973452851,0.162522398115015,0.228181909340255,0.323367772974713,1.35722886250491,-0.156668377958503,0.549978616571802,-0.701595226312201,-0.27032976291952,0.343939992027346,0.1099709138531,2.26,0
12035,20832.0,1.2844747535235,-0.528597383099064,-0.551952323858379,-1.69221695087393,1.39041938248929,3.48725080177172,-1.22348884225684,0.875786376196762,2.95498236966376,-1.39857391361139,0.756287468382036,-1.87544831933608,1.67365608644553,1.40568445102082,0.710532881872085,-0.149640866477207,0.0812308830589676,0.893576568652798,0.720911417102599,-0.0154149263694058,-0.208136265916587,-0.272552322212315,-0.0707851835819899,0.957665800346534,0.636471474350683,-0.71107882714316,0.0680181209641866,0.0241728108553707,11.85,0
39242,39759.0,-0.625481059489652,1.35855984763007,1.33308086917056,2.8981797421237,0.328167396034747,0.688468223702941,0.408813140563074,0.416167412735084,-1.76735706305318,1.09968931817854,0.182064112159301,-0.0361423367110235,0.10441399612065,0.257485933476463,-0.619390071294929,1.60665918424942,-1.32815596168722,0.632323879854341,-0.945704436795843,-0.183058701833729,0.0041655076464486,-0.10106731532139,0.128092287496272,-0.427378976408846,-0.447434504289795,-0.251746445023005,-0.338928224999125,-0.273509369791214,44.52,0
205422,135740.0,-1.52394060995806,1.55823603999161,-0.708495944416622,-0.177579964838759,-0.647181514253008,-0.960626656710188,0.229511091731952,0.941774767850685,-0.507754765399758,-1.22888027445808,-1.34906333061899,0.518273649942465,-0.0551638825658862,1.21787207209287,-0.0145056277245569,-0.244330759525228,0.334106098713654,-0.394095950006617,0.484487993504223,-0.526083122693391,0.0004746168561309,-0.334035582034332,0.204287060697992,-0.0419852484168679,-0.509421876755824,-0.601329344609343,-0.401037620700649,-0.0806798694247088,52.98,0
115445,73880.0,0.879900734123406,-1.31969462912487,0.252382095758564,-0.508550901019197,-1.22955590704873,-0.498626376001054,-0.33233348004029,-0.0878455836468324,-0.720416100853823,0.466714064239303,-0.0547137211856899,-0.755872980090958,-0.377100427062893,0.0479434657110272,1.16266779858902,1.00420822111121,0.536723520982524,-1.90621639911461,0.174180831487155,0.508654109361388,0.0770514578380162,-0.462499426287531,-0.048334043300891,0.0569999444790212,0.0455407652278389,-0.476642532105651,-0.0244861436047986,0.0616457910994333,259.0,0
224807,143971.0,-0.113538150441041,1.23541364872807,-0.226598018867511,-0.503040252160832,0.957009684564493,-1.21172999844452,1.32037918463984,-0.378480450076722,-0.124346989008762,-1.22629001286084,-0.61453480223595,0.481852890215254,0.925088353016187,-1.21795214318953,-0.368228950230449,0.0153509880504693,0.375694871408577,-0.0472929571478269,-0.160446307110257,-0.127797075299641,-0.156039668543228,-0.324411662374904,0.0329382684806174,-0.220653871188113,-0.880363320813861,-0.76283724925476,0.115728658541322,0.262769828285104,9.99,0
250761,155054.0,-0.512348993642627,4.82706041999945,-7.97393924909553,7.3340585164719,0.367703644775346,-2.0551290853684,-2.93585569967936,1.43100813095171,-4.54472224374179,-5.25809597551632,5.71631869503674,-5.81040712597652,0.723292646283101,-12.2891333850899,0.378773196301938,-2.02073438121173,-2.03970261739192,0.658182927257658,0.832574035012694,0.804101330337598,0.535619750720892,-0.459495920284509,-0.0093636678425974,-1.1404357941897,-0.0064452687432379,0.527970329614587,0.55888099608345,0.126516761960086,0.77,1
